,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
56796,7251,,-1,Storytelling de marques : apprenez à faire la différence,D couvrez le pouvoir de la communication narrative et des belles histoires pour faire passer votre marque   la vitesse sup rieure Introduction  Exploration  Connection  Action   valuation et progression  Projet final Les r cits rec lent bien des pouvoirs  Ils sont capables d mouvoir  de s duire  de galvaniser et de faire vibrer  Et  a  Guillaume Lamarre l a bien compris   tous les jours  il aide ses clients   se d marquer gr ce aux outils de la communication narrative   Dans ce cours  il vous apprendra les fondamentaux du storytelling pour vous permettre de positionner votre marque et conqu rir le march  Gr ce   lui  vous saurez analyser les besoins d un client et pr senter un service ou un produit avec une rh torique unique ,-1,Domestika,"Taught by
Guillaume Lamarre",French,-1.0,https://www.classcentral.com/course/domestika-2663-brand-storytelling-learn-to-stand--93804
56833,7288,,-1,Illustration animée avec une ambiance unique sur Photoshop,Cr ez une illustration avec des  l ments anim s et une ambiance inimitable en d couvrant les secrets de la m thode frame by frame sur Photoshop Introduction  Recherches pr paratoires  Illustration et animation  Exports et partage  Projet final Envie de donner du mouvement   vos dessins   De d couvrir les infinies possibilit s de l'illustration num rique   De ma triser Photoshop   un niveau expert m me sans exp rience avec le logiciel   Alors rejoignez ce cours que Dylan Eurlings a sp cialement con u pour vous     ses c t s  vous explorerez les notions de composition  d clairage et de couleur et donnerez vie   certains  l ments du dessin gr ce   la technique du   frame by frame   Il vous suffira d un peu de cr ativit  et de vous laisser guider pour cr er une image sur Photoshop avec une lumi re unique ,-1,Domestika,"Taught by
Dylan Eurlings",French,-1.0,https://www.classcentral.com/course/domestika-2727-animated-illustrations-in-photosho-93841
56847,7302,,-1,Illustration numérique japonaise de style vintage ,R alisez une superbe illustration vintage inspir e de l univers japonais sur Photoshop Introduction  La th matique japonaise en illustration  Cr ation de l affiche   dessin  Cr ation de l affiche   couleur et effets  Pour aller plus loin  Projet final Embarquez avec l illustrateur Paiheme pour une aventure haute en couleurs  en plein c ur de l'imagerie populaire japonaise   Le pays des mangas  des animes  et des images kawaii constitue un terrain de jeu id al pour tous ceux qui aiment les univers graphiques forts   Dans ce cours  vous apprendrez   cr er une illustration inspir e de la culture japonaise en utilisant le dessin   la main  mais aussi Photoshop et Procreate  Vous obtiendrez l esth tique d une affiche s rigraphi e des ann es soixante unique et impactante ,-1,Domestika,"Taught by
Pierre-Marie Postel",French,-1.0,https://www.classcentral.com/course/domestika-2745-vintage-japanese-digital-illustrat-93855
56849,7304,,-1,Peinture numérique : l'approche par le croquis,Apprenez   lib rer votre cr ativit  gr ce   la pratique du croquis et cr ez de magnifiques histoires illustr es avec Photoshop Introduction  Les bases du croquis  Cr ation du projet   l esquisse et la composition  La couleur et la lumi re  Pour aller plus loin  Projet final La peinture num rique est un outil formidable pour raconter des histoires  pour capter la spontan it  autour de soi et repr senter des sc nes ou des attitudes  Pourtant  le travail num rique a parfois tendance   trop lisser les traits et   tendre vers la perfection  C est ce que Julien Schleiffer cherche    viter en jouant avec les croquis et en explorant la force  vocatrice des trac s    Dans ce cours Domestika  vous illustrerez une histoire en utilisant la peinture digitale   la mani re d un carnet de croquis  Apr s avoir appris   lib rer votre cr ativit  et   esquisser les premi res  bauches num riques de votre image narrative  vous cr erez rapidement une illustration pleine de couleurs et de lumi re  tout en d couvrant les secrets de Photoshop ,-1,Domestika,"Taught by
Julien Schleiffer",French,-1.0,https://www.classcentral.com/course/domestika-2748-digital-painting-the-sketching-app-93857
56853,7308,,-1,Illustration numérique de motifs inspirés de la faune et la flore,Cr ez de magnifiques motifs que vous pourrez appliquer   tous vos produits gr ce   Procreate et Photoshop Introduction  Inspiration et premiers croquis  La cr ation du motif illustr   La couleur et la composition  Utiliser et diffuser votre cr ation  Projet final   Depuis toute petite  j ai toujours eu un lien profond avec la nature  J aime dessiner des animaux sauvages aux d tails amusants   La grandeur du monde naturel inspire bien des artistes et Laura Lhuillier n chappe pas   la r gle   Dans ce cours  vous apprendrez   cr er des motifs originaux   partir de dessins illustrant la faune et la flore  tout en utilisant Procreate et Photoshop  Le monde du dessin num rique n'aura plus de secrets pour vous ,-1,Domestika,"Taught by
Laura Lhuillier",French,-1.0,https://www.classcentral.com/course/domestika-2753-digital-pattern-illustration-inspi-93861
56874,7329,,-1,Peinture à la gouache : illustrer la vie sauvage,Apprivoisez les lignes  les aplats et les couleurs de la gouache pour illustrer une sc ne bucolique Introduction  S' quiper et se pr parer  Se lancer et r aliser  Valoriser et faire durer  Projet final Pour cr er ses magnifiques illustrations sauvages  Roxane s inspire de ses voyages  de ses promenades et de petits moments de la vie quotidienne  Sa pratique de la peinture  apaisante et m ditative  lui permet d'exprimer les  motions uniques qu elle ressent   ces moment l    Dans ce cours  vous apprendrez les principales techniques de la peinture   la gouache pour donner vie   une sc ne tout droit sortie de votre imagination  Roxane vous donnera les cl s pour que vous puissiez vous approprier les techniques  Suivez ses pas pour vaincre votre peur du pinceau et prendre votre envol cr atif  ,-1,Domestika,"Taught by
Roxane Campoy",French,-1.0,https://www.classcentral.com/course/domestika-2775-painting-a-wildlife-scene-with-gou-93882
56878,7333,,-1,Création d’une composition florale à l’aquarelle,D couvrez les techniques modernes de l aquarelle pour illustrer un jardin fleuri aux couleurs printani res Introduction  L aquarelle moderne  La couleur et le geste  Cr er votre jardin fleuri  Pour aller plus loin  Projet final Jennifer Lef vre a grandi   l or e d une for t et c est cette nature sauvage qui l inspire dans son travail  Ses aquarelles subtiles allient des effets de transparence et de mati re  en plus de faire la part belle au l cher prise    Dans ce cours  vous apprendrez   cr er une composition florale fra che et vibrante   l aide de techniques d aquarelle moderne  Pas   pas  vous avancerez dans votre composition en suivant les conseils de Jennifer  De quoi d velopper votre identit  d'aquarelliste de A   Z  ,-1,Domestika,"Taught by
Jennifer Lefèvre",French,-1.0,https://www.classcentral.com/course/domestika-2783-floral-arrangement-illustration-in-93886
56890,7345,,Cinema 4D,Cinema 4D : donnez vie à une illustration 3D pop et ludique,Cr ez un incroyable monde en 3D plein de couleurs  de mouvement et de d tails et apprenez tous les secrets de Cinema 4D  Photoshop et Octane Introduction  Pr paration du projet  Modeling et Design sur Cinema 4D  Lumi res  textures et rendu de l image finale  Projet final Qui a dit que l illustration devait se limiter   des dessins   plat   Certainement pas Mattey   Cet illustrateur passionn  aime jouer avec les ressorts de la profondeur et de l illustration 3D  Avec son univers pop  vif et color  il est capable de donner du caract re   n importe quel type de projet visuel   Dans ce cours  Mattey vous apprendra une technique simple mais efficace pour cr er des illustrations 3D gr ce au logiciel Cinema 4D  Vous apporterez  galement des petits ajustements sur Photoshop et le moteur de rendu Octane pour aboutir   un r sultat bluffant qui s duira tous vos followers et clients ,-1,Domestika,"Taught by
Mattey",French,-1.0,https://www.classcentral.com/course/domestika-2797-cinema-4d-bring-playful-3d-illustr-93898
56908,7363,,-1,Décor floral : compositions joyeuses et colorées,D couvrez comment r aliser sur mesure une magnifique cr ation florale avec des objets du quotidien en jouant avec les couleurs  les espaces et les textures Introduction  Introduction   l art floral  Approche de la composition et de la couleur  Am nagement floral dans un espace  Les derniers d tails  Projet final Un dahlia  clatant  un tournesol lumineux  une pointe d'audace  une bonne dose de ga t  Et voil  le monde floral magique de Justine Beaussart qui prend vie   Cette fleuriste    l univers aussi frais que color  adore cr er des ambiances sur mesure et originales   Elle fait r ver ses clients en utilisant des fleurs locales et de saison pour cr er des compositions m morables  capables de donner de la couleur   tous types d v nements  Dans ce cours  Justine vous apprendra des techniques de stylisme floral pour construire des sc nographies cr atives tout en respectant l environnement ,-1,Domestika,"Taught by
Justine Beaussart",French,-1.0,https://www.classcentral.com/course/domestika-2827-floral-decoration-joyful-and-color-93916
56913,7368,,-1,Initiation au lettering manuel : composition de lettres colorées,Pr sentation  Influences  L univers du lettering et la culture visuelle de la lettre  D couverte des outils  Les styles typographiques  Focus sur le script  L inspiration et le message  Premi res esquisses  La composition et le choix final  Les  l ments de d coration 1  Les  l ments de d coration 2  La couleur  la palette et les d grad s  La composition finale  Faire vivre votre composition sur une photographie  Comment partager votre travail sur Instagram  Initiation au lettering manuel   composition de lettres color es,-1,Domestika,"Taught by
Stephane Lopes",French,-1.0,https://www.classcentral.com/course/domestika-2834-introduction-to-hand-lettering-com-93921
56942,7397,,-1,Initiation au crochet : créez un amigurumi à croquer,Plongez dans l'univers passionnant du crochet et apprenez   cr er un amigurumi color  qui ravira les petits comme les grands Introduction  D couvrir le crochet  Recherches pour le projet  Crocheter votre cr ation  Partager votre amigurumi  Projet final Avez vous jamais r v  de cr er un radis g ant  au crochet   Si vous pensiez que cette activit   tait exclusivement r serv e   votre grand m re maternelle  vous risquez bien d tre surpris   Avec quelques fils de laine et une aiguille   crochet  des cr atrices textiles comme Laetitia Dalbies font des merveilles tout en modernit   Dans ce cours  vous apprendrez les techniques de base pour crocheter des objets en volume  dr les et color s  Pour le projet final  vous r aliserez un amigurumi   une peluche japonaise   qui prendra la forme d un radis g ant ou d un fruit de votre choix  Un jouet qui apportera du bonheur   la maison  ,-1,Domestika,"Taught by
Laetitia Dalbies",French,-1.0,https://www.classcentral.com/course/domestika-2880-crochet-for-beginners-create-food--93950
56945,7400,,-1,Initiation à la création de céramiques aux motifs colorés,Pr sentation  Influences  La couleur  L esquisse  Trouver l inspiration  Les outils et mat riaux  Assemblage de la forme 1  Assemblage de la forme 2  La technique de la plaque  La technique du pinc   Pr paration de l espace de travail  Les engobes et rechercher de motifs  D cor   l engobe 1  D cor   l engobe 2  D cor   l engobe 3   maillage et cuisson  Emballage et entretien  Ornementation  Initiation   la cr ation de c ramiques aux motifs color s,-1,Domestika,"Taught by
Sara Theron",French,-1.0,https://www.classcentral.com/course/domestika-2884-introduction-to-colorful-patterned-93953
56950,7405,,Design & Creativity,Espace et informations : lien entre graphisme et architecture,Pr sentation  Mes sources d'inspiration  Placer un texte dans un espace 1  Placer un texte dans un espace 2  Mod lisation  Choisir une expression graphique  Le dessin de caract res  Les partis pris architecturaux  Mat rialit  et couleurs  Lumi re directe ou indirecte  L'inscription digitale  Choix de l'espace   magnifier  La fonction et le message  Jardiner les inscriptions en pr sence  Graphisme et information  Espace et informations   lien entre graphisme et architecture,-1,Domestika,"Taught by
Ruedi Baur",French,-1.0,https://www.classcentral.com/course/domestika-2890-graphic-design-for-architectural-s-93958
56954,7409,,-1,Storytelling de marque créatif et authentique sur Instagram,Apprenez   exprimer la personnalit  de votre marque sur Instagram et d couvrez des astuces uniques pour partager du contenu au plus proche de votre audience Introduction  Le storytelling sur Instagram  Notre cas d' tude   Les Candides  Cr ation du contenu  Des conseils en plus  Projet final Vous r vez de conna tre le secret de ces comptes Instagram aux millions de followers mais l application vous semble difficilement accessible   Vous lancez votre commerce en ligne et vous aimeriez faire d coller votre visibilit  sur le r seau social   Vous avez frapp    la bonne porte    Yasmine Boh as  formatrice et experte en communication digitale  vous transmettra son enthousiasme et vous donnera les cl s du succ s sur Instagram  En s'appuyant sur un cas pratique  elle vous montrera qu il est possible de raconter une histoire authentique et humaine  au plus proche de votre audience ,-1,Domestika,"Taught by
Yasmine Bohéas",French,-1.0,https://www.classcentral.com/course/domestika-2896-creative-brand-storytelling-being--93962
56960,7415,,-1,Direction artistique et édition : du concept à l’impression,Pr sentation  Nos sources d'inspiration  Qu'est ce que la direction artistique    L'inspiration et l'envie cr ative  Exploiter un brief  Grille de composition et chemin de fer  Les images  La typographie  Les textes  Les couvertures  L'objet papier  Communiquer sur son travail  Direction artistique et  dition   du concept   l impression,-1,Domestika,"Taught by
Akatre",French,-1.0,https://www.classcentral.com/course/domestika-2904-art-direction-and-publishing-from--93968
